FNDDTL_FUND_DETAIL_KEY,FNDDTL_FUND_DETAIL_CODE,FNDDTL_FUND_DETAIL_NAME,FND_FUND_CODE,FND_FUND_NAME
117,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
118,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
119,0000,UNCLASSIFIED,00,UNCLASSIFIED
120,0000,UNCLASSIFIED,00,UNCLASSIFIED
121,0500,ENTERPRISE,05,ENTERPRISE
122,0500,ENTERPRISE,05,ENTERPRISE
123,0500,ENTERPRISE,05,ENTERPRISE
124,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
125,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
126,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
127,0500,ENTERPRISE,05,ENTERPRISE
128,0500,ENTERPRISE,05,ENTERPRISE
129,0500,ENTERPRISE,05,ENTERPRISE
130,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
131,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
132,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
133,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
134,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
135,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
136,0500,ENTERPRISE,05,ENTERPRISE
137,0500,ENTERPRISE,05,ENTERPRISE
138,0500,ENTERPRISE,05,ENTERPRISE
139,0500,ENTERPRISE,05,ENTERPRISE
140,0500,ENTERPRISE,05,ENTERPRISE
141,0000,UNCLASSIFIED,00,UNCLASSIFIED
142,0000,UNCLASSIFIED,00,UNCLASSIFIED
143,0000,UNCLASSIFIED,00,UNCLASSIFIED
144,0000,UNCLASSIFIED,00,UNCLASSIFIED
145,0000,UNCLASSIFIED,00,UNCLASSIFIED
146,0000,UNCLASSIFIED,00,UNCLASSIFIED
147,0000,UNCLASSIFIED,00,UNCLASSIFIED
148,0000,UNCLASSIFIED,00,UNCLASSIFIED
149,0000,UNCLASSIFIED,00,UNCLASSIFIED
150,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
151,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
152,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
153,0000,UNCLASSIFIED,00,UNCLASSIFIED
154,0000,UNCLASSIFIED,00,UNCLASSIFIED
155,0000,UNCLASSIFIED,00,UNCLASSIFIED
156,0000,UNCLASSIFIED,00,UNCLASSIFIED
157,0000,UNCLASSIFIED,00,UNCLASSIFIED
158,0000,UNCLASSIFIED,00,UNCLASSIFIED
159,0000,UNCLASSIFIED,00,UNCLASSIFIED
160,0000,UNCLASSIFIED,00,UNCLASSIFIED
161,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
162,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
163,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
164,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
165,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
166,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
167,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
168,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
169,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
170,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
171,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
172,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
173,0500,ENTERPRISE,05,ENTERPRISE
174,0500,ENTERPRISE,05,ENTERPRISE
175,0500,ENTERPRISE,05,ENTERPRISE
176,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
177,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
178,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
179,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
180,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
181,0000,UNCLASSIFIED,00,UNCLASSIFIED
182,0000,UNCLASSIFIED,00,UNCLASSIFIED
183,0000,UNCLASSIFIED,00,UNCLASSIFIED
184,0000,UNCLASSIFIED,00,UNCLASSIFIED
185,0000,UNCLASSIFIED,00,UNCLASSIFIED
186,0000,UNCLASSIFIED,00,UNCLASSIFIED
187,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
188,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
189,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
190,0000,UNCLASSIFIED,00,UNCLASSIFIED
191,0000,UNCLASSIFIED,00,UNCLASSIFIED
192,0000,UNCLASSIFIED,00,UNCLASSIFIED
193,0000,UNCLASSIFIED,00,UNCLASSIFIED
194,0000,UNCLASSIFIED,00,UNCLASSIFIED
195,0000,UNCLASSIFIED,00,UNCLASSIFIED
196,0000,UNCLASSIFIED,00,UNCLASSIFIED
197,0000,UNCLASSIFIED,00,UNCLASSIFIED
198,0000,UNCLASSIFIED,00,UNCLASSIFIED
199,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
200,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
201,0100,GENERAL,01,GENERAL
202,0100,GENERAL,01,GENERAL
203,0100,GENERAL,01,GENERAL
204,0500,ENTERPRISE,05,ENTERPRISE
205,0500,ENTERPRISE,05,ENTERPRISE
206,0500,ENTERPRISE,05,ENTERPRISE
207,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
208,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
209,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
210,0100,GENERAL,01,GENERAL
211,0100,GENERAL,01,GENERAL
212,0100,GENERAL,01,GENERAL
213,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
214,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
215,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
216,0500,ENTERPRISE,05,ENTERPRISE
217,0500,ENTERPRISE,05,ENTERPRISE
218,0500,ENTERPRISE,05,ENTERPRISE
219,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
220,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
221,0000,UNCLASSIFIED,00,UNCLASSIFIED
222,0000,UNCLASSIFIED,00,UNCLASSIFIED
223,0000,UNCLASSIFIED,00,UNCLASSIFIED
224,0000,UNCLASSIFIED,00,UNCLASSIFIED
225,0000,UNCLASSIFIED,00,UNCLASSIFIED
226,0000,UNCLASSIFIED,00,UNCLASSIFIED
227,0000,UNCLASSIFIED,00,UNCLASSIFIED
228,0000,UNCLASSIFIED,00,UNCLASSIFIED
229,0000,UNCLASSIFIED,00,UNCLASSIFIED
230,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
231,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
232,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
233,0000,UNCLASSIFIED,00,UNCLASSIFIED
234,0000,UNCLASSIFIED,00,UNCLASSIFIED
235,0000,UNCLASSIFIED,00,UNCLASSIFIED
236,0000,UNCLASSIFIED,00,UNCLASSIFIED
237,0000,UNCLASSIFIED,00,UNCLASSIFIED
238,0000,UNCLASSIFIED,00,UNCLASSIFIED
239,0000,UNCLASSIFIED,00,UNCLASSIFIED
240,0000,UNCLASSIFIED,00,UNCLASSIFIED
241,0100,GENERAL,01,GENERAL
242,0100,GENERAL,01,GENERAL
243,0100,GENERAL,01,GENERAL
244,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
245,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
246,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
247,0100,GENERAL,01,GENERAL
248,0100,GENERAL,01,GENERAL
249,0100,GENERAL,01,GENERAL
250,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
251,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
252,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
253,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
254,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
255,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
256,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
257,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
258,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
259,0100,GENERAL,01,GENERAL
260,0100,GENERAL,01,GENERAL
261,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
262,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
263,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
264,0100,GENERAL,01,GENERAL
265,0100,GENERAL,01,GENERAL
266,0100,GENERAL,01,GENERAL
267,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
268,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
269,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
270,0100,GENERAL,01,GENERAL
271,0100,GENERAL,01,GENERAL
272,0100,GENERAL,01,GENERAL
273,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
274,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
275,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
276,0100,GENERAL,01,GENERAL
277,0100,GENERAL,01,GENERAL
278,0100,GENERAL,01,GENERAL
279,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
280,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
281,0000,UNCLASSIFIED,00,UNCLASSIFIED
282,0000,UNCLASSIFIED,00,UNCLASSIFIED
283,0000,UNCLASSIFIED,00,UNCLASSIFIED
284,0000,UNCLASSIFIED,00,UNCLASSIFIED
285,0000,UNCLASSIFIED,00,UNCLASSIFIED
286,0000,UNCLASSIFIED,00,UNCLASSIFIED
287,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
288,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
289,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
290,0000,UNCLASSIFIED,00,UNCLASSIFIED
291,0000,UNCLASSIFIED,00,UNCLASSIFIED
292,0000,UNCLASSIFIED,00,UNCLASSIFIED
293,0000,UNCLASSIFIED,00,UNCLASSIFIED
294,0000,UNCLASSIFIED,00,UNCLASSIFIED
295,0000,UNCLASSIFIED,00,UNCLASSIFIED
296,0000,UNCLASSIFIED,00,UNCLASSIFIED
297,0000,UNCLASSIFIED,00,UNCLASSIFIED
298,0000,UNCLASSIFIED,00,UNCLASSIFIED
299,0000,UNCLASSIFIED,00,UNCLASSIFIED
300,0000,UNCLASSIFIED,00,UNCLASSIFIED
301,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
302,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
303,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
304,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
305,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
306,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
307,0500,ENTERPRISE,05,ENTERPRISE
308,0500,ENTERPRISE,05,ENTERPRISE
309,0500,ENTERPRISE,05,ENTERPRISE
310,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
311,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
312,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
313,0100,GENERAL,01,GENERAL
314,0100,GENERAL,01,GENERAL
315,0100,GENERAL,01,GENERAL
316,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
317,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
318,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
319,0500,ENTERPRISE,05,ENTERPRISE
320,0500,ENTERPRISE,05,ENTERPRISE
321,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
322,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
323,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
324,0000,UNCLASSIFIED,00,UNCLASSIFIED
325,0000,UNCLASSIFIED,00,UNCLASSIFIED
326,0000,UNCLASSIFIED,00,UNCLASSIFIED
327,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
328,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
329,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
330,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
331,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
332,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
333,0000,UNCLASSIFIED,00,UNCLASSIFIED
334,0000,UNCLASSIFIED,00,UNCLASSIFIED
335,0000,UNCLASSIFIED,00,UNCLASSIFIED
336,0000,UNCLASSIFIED,00,UNCLASSIFIED
337,0000,UNCLASSIFIED,00,UNCLASSIFIED
338,0000,UNCLASSIFIED,00,UNCLASSIFIED
339,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
340,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
341,0100,GENERAL,01,GENERAL
342,0100,GENERAL,01,GENERAL
343,0100,GENERAL,01,GENERAL
344,0100,GENERAL,01,GENERAL
345,0100,GENERAL,01,GENERAL
346,0100,GENERAL,01,GENERAL
347,0100,GENERAL,01,GENERAL
348,0100,GENERAL,01,GENERAL
349,0100,GENERAL,01,GENERAL
350,0100,GENERAL,01,GENERAL
351,0100,GENERAL,01,GENERAL
352,0100,GENERAL,01,GENERAL
353,0100,GENERAL,01,GENERAL
354,0100,GENERAL,01,GENERAL
355,0100,GENERAL,01,GENERAL
356,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
357,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
358,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
359,0100,GENERAL,01,GENERAL
360,0100,GENERAL,01,GENERAL
361,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
362,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
363,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
364,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
365,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
366,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
367,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
368,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
369,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
370,0000,UNCLASSIFIED,00,UNCLASSIFIED
371,0000,UNCLASSIFIED,00,UNCLASSIFIED
372,0000,UNCLASSIFIED,00,UNCLASSIFIED
373,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
374,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
375,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
376,0000,UNCLASSIFIED,00,UNCLASSIFIED
377,0000,UNCLASSIFIED,00,UNCLASSIFIED
378,0000,UNCLASSIFIED,00,UNCLASSIFIED
379,0000,UNCLASSIFIED,00,UNCLASSIFIED
380,0000,UNCLASSIFIED,00,UNCLASSIFIED
381,0100,GENERAL,01,GENERAL
382,0100,GENERAL,01,GENERAL
383,0100,GENERAL,01,GENERAL
384,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
385,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
386,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
387,0100,GENERAL,01,GENERAL
388,0100,GENERAL,01,GENERAL
389,0100,GENERAL,01,GENERAL
390,0100,GENERAL,01,GENERAL
391,0100,GENERAL,01,GENERAL
392,0100,GENERAL,01,GENERAL
393,0100,GENERAL,01,GENERAL
394,0100,GENERAL,01,GENERAL
395,0100,GENERAL,01,GENERAL
396,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
397,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
398,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
399,0100,GENERAL,01,GENERAL
400,0100,GENERAL,01,GENERAL
401,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
402,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
403,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
404,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
405,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
406,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
407,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
