
"PONUMBER"	"AGENCY"	"ORDEREDDATE"	"VENDORCOMMODITYDESC"	"QUANTITYORDERED"	"PRICE"	"VENDORID"	"VENDORNAME"	"VENDORADDRESS"	"VENDORCITY"	"VENDORSTATE"	"VENDORPOSTALCODE"	"VENDORLOC_EMAILADDRESS"	"NIGPCODE"	"NIGPDESCRIPTION"	"UOMCode"	"UOMDesc"	"VENDORPARTNUMBER"	"MANPARTNUMBER"
"DO60782"	"Piedmont VA Community College"	"02/05/2003"	"Tape, Black Gaffer's 2""	24	10.75	"012407102"	"Mutual Hardware Corporation"	"5-45 49TH AVENUE"	"LONG ISLAND CITY"	"NY"	"11101"	""	"01500"	"ADDRESSING, COPYING, MIMEOGRAPH, AND SPIRIT DUPLICATING MACHINE SUPPLIES: CHEMICALS, INKS, PAPER, ETC."	"EA"	"each"	""	""
"DO36698"	"Department of Blind and Vision Impaired"	"09/25/2002"	"Fresnel Lens #1790"	5	74.9	"e1499"	"MAXIAIDS"	"PO Box 3413"	"Farmingdale"	"NY"	"11735"	"BarryG@seemorevision.com"	"62578"	"Magnifiers (For Office Use See Class 605)"	"EA"	"each"	""	""
"DO36698"	"Department of Blind and Vision Impaired"	"09/25/2002"	"Magnistitch for sewing/craft/hobbies"	5	5.95	"e1499"	"MAXIAIDS"	"PO Box 3413"	"Farmingdale"	"NY"	"11735"	"BarryG@seemorevision.com"	"62578"	"Magnifiers (For Office Use See Class 605)"	"EA"	"each"	""	""
"DO12418"	"Mountain Empire Community College"	"03/28/2002"	"BCT Add-on: PMS ink (In addition to Reflex Blue or Black) - 6 to 11 lots.  To qualify as a lot cards must be ordered in same purchase order, be the same PMS ink, and be delivered to the same location."	0	2.11	"c14933"	"Dister, Inc."	"832 Widgeon Rd"	"Norfolk"	"VA"	"23513"	"bctvirginia@earthlink.net"	"64535"	"Cover Stock (Including Recycled)"	"EA"	"each"	"0160"	""
"DO12419"	"Department of Corrections"	"03/28/2002"	"Item # 00700 Elite Marker II-pre-inked signature stamp-black ink. Two stamps of the attached signature for Helen F. Fahey {please see attached}."	0	6.45	"c8038"	"RODZINA INDUSTRIES INC"	"3518 Fenton Rd."	"Flint"	"MI"	"48507"	"Rodzinaind@aol.com"	"61577"	"Rubber Stamps, Stamp Pads, Stamp Pad Ink and Stamp Racks"	"EA"	"each"	""	""
"DO12419"	"Department of Corrections"	"03/28/2002"	"Item # 00700 Elite Marker II-pre-inked to read {CONFIDENTIAL} In Bookman Bold (All Caps) black ink"	0	6.45	"c8038"	"RODZINA INDUSTRIES INC"	"3518 Fenton Rd."	"Flint"	"MI"	"48507"	"Rodzinaind@aol.com"	"61577"	"Rubber Stamps, Stamp Pads, Stamp Pad Ink and Stamp Racks"	"EA"	"each"	""	""
"DO12419"	"Department of Corrections"	"03/28/2002"	"Item # 00660 Black Ink Bottle 1/2 oz for Elite Marker II-pre-inked signature stamp-black ink. "	0	2.25	"c8038"	"RODZINA INDUSTRIES INC"	"3518 Fenton Rd."	"Flint"	"MI"	"48507"	"Rodzinaind@aol.com"	"61577"	"Rubber Stamps, Stamp Pads, Stamp Pad Ink and Stamp Racks"	"EA"	"each"	""	""
"DO36852"	"Keen Mountain Correctional Center"	"09/25/2002"	"109885, SOLENOID VALVE"	1	56.29	"c7110"	"Heritage Food Service Equipment Inc"	"5130 EXECUTIVE BLVD"	"FORT WAYNE"	"IN"	"46808"	"LINDAM@HFSE.COM"	"67080"	"Valves, Solenoid Control"	"EA"	"each"	""	""
"DO12418"	"Mountain Empire Community College"	"03/28/2002"	"Business Cards, 1,000 Cards per original - Be sure to add additional Upcharges to complete your order.  Each Upcharge has its own line item.  NOTE: Once your order is completed in eVA you must go to the vendor web site and configure your card."	0	10.89	"c14933"	"Dister, Inc."	"832 Widgeon Rd"	"Norfolk"	"VA"	"23513"	"bctvirginia@earthlink.net"	"64535"	"Cover Stock (Including Recycled)"	"EA"	"each"	"0030"	""
"DO12419"	"Department of Corrections"	"03/28/2002"	"Item # 00700 Elite Marker II-pre-inked signature stamp-black ink. Two stamps of the attached signature for David N. Harker {please see attached}."	0	6.45	"c8038"	"RODZINA INDUSTRIES INC"	"3518 Fenton Rd."	"Flint"	"MI"	"48507"	"Rodzinaind@aol.com"	"61577"	"Rubber Stamps, Stamp Pads, Stamp Pad Ink and Stamp Racks"	"EA"	"each"	""	""
"DO36846"	"Sussex Correctional Center I"	"09/25/2002"	""RUBBERBAND,#18,1/4LB BG,4/BX""	2	.27	"c16503"	"Supply Room"	"PO Box 1810"	"Ashland"	"VA"	"23005"	"achildress@thesupplyroom.com"	"61500"	"OFFICE SUPPLIES, GENERAL"	"BG"	"bag"	"TSR1418"	"TSR1418"
"PCO6235"	"Department of General Services"	"09/25/2002"	"ValuMouse, 2 Button, Gray"	10	8.66	"c16503"	"Supply Room"	"PO Box 1810"	"Ashland"	"VA"	"23005"	"achildress@thesupplyroom.com"	"20468"	"Peripherals, Miscellaneous: Joy Sticks, Graphic Digitizers, Light Pens, Mice, Pen Pads, Trackballs, etc."	"EA"	"each"	"KMW19400"	"KMW19400"
"DO36852"	"Keen Mountain Correctional Center"	"09/25/2002"	"110854, FLOAT SWITCH"	2	217.08	"c7110"	"Heritage Food Service Equipment Inc"	"5130 EXECUTIVE BLVD"	"FORT WAYNE"	"IN"	"46808"	"LINDAM@HFSE.COM"	"28579"	"Switches, Miscellaneous"	"EA"	"each"	""	""
"DO36852"	"Keen Mountain Correctional Center"	"09/25/2002"	"111519, NOZZLE"	8	15.29	"c7110"	"Heritage Food Service Equipment Inc"	"5130 EXECUTIVE BLVD"	"FORT WAYNE"	"IN"	"46808"	"LINDAM@HFSE.COM"	"72033"	"Gasoline, Compressed Natural Gas (CNG), Liquified Petroleum Gas (LPG), and Diesel Fuel Pumps, Service Station Type"	"EA"	"each"	""	""
"DO36846"	"Sussex Correctional Center I"	"09/25/2002"	"Liquid Paper Correction Fluid, Smooth Coverage, White"	1	.77	"c16503"	"Supply Room"	"PO Box 1810"	"Ashland"	"VA"	"23005"	"achildress@thesupplyroom.com"	"61529"	"Correction Fluid, Sheets and Tape, Including Thinners (For Typewriter Correction Tape See 610-96)"	"EA"	"each"	"PAP56301"	"PAP56301"
"DO11728"	"Central Virginia Community College"	"04/03/2002"	"Global Specialties Model #4001 Ultra-Variable Pulse Generator  (Part NO. 105-4001)     *****Iinclude warranty information and operator's manuals with delivery   ****** Quoted by Scott McDonald on 2/27/02        ******* FOB Destination     ***** Delivery N"	0	168	"c9974"	"PRODUCTS INTL INC"	"9893 Brewers Ct."	"Laurel"	"MD"	"20723"	"lisa@prodintl.com"	"92532"	"Electronic Engineering"	"EA"	"each"	""	""
"DO11977"	"Virginia School for the Deaf and Blind - Hampton"	"03/25/2002"	"The contractor shall provide supervision, materials, equipment and labor to perform the following:  In building 12 (Ritter Hall) complete removal and disposal of LBP (Lead Base Paint) from all metal componets of  3 stairwells including landing in accordan"	0	7481	"999999999999"	"ACS Environmental, Inc."	"465 E. Indian River Road"	"Norfolk"	"VA"	"23523"	""	"91054"	"Painting, Maintenance and Repair Services"	"EA"	"each"	""	""
"DO36801"	"Virginia State University"	"09/25/2002"	"TOP8021  STENO PADS"	24	1.1	"c16503"	"Supply Room"	"PO Box 1810"	"Ashland"	"VA"	"23005"	"achildress@thesupplyroom.com"	"61562"	"Pads and Tablets: Analysis, Columnar, Figure, Memo, Note, Ruled, Post-It Notes, Telephone Message, etc."	"EA"	"each"	""	""
"DO36813"	"Fluvanna Correctional Center"	"09/25/2002"	"Women's Briefs, #AP2021, Size 7"	10	7.6	"999999999999"	"Goldwater Industries"	"17221 S. Western Avenue"	"Gardena"	"CA"	"90247"	""	"20100"	"CLOTHING ACCESSORIES (SEE CLASS 800 FOR SHOES AND BOOTS)"	"DZN"	"dozen"	""	""
"DO36801"	"Virginia State University"	"09/25/2002"	"SMD215OL  MANILA FOLDERS"	2	12.72	"c16503"	"Supply Room"	"PO Box 1810"	"Ashland"	"VA"	"23005"	"achildress@thesupplyroom.com"	"61545"	"File Folders, Regular, Legal and Letter Sizes"	"BX"	"box"	""	""
"DO36801"	"Virginia State University"	"09/25/2002"	"VIB1276  5-COLOR HIGHLIGHTER SET"	5	5	"c16503"	"Supply Room"	"PO Box 1810"	"Ashland"	"VA"	"23005"	"achildress@thesupplyroom.com"	"62000"	"OFFICE SUPPLIES: ERASERS, INKS, LEADS, PENS, PENCILS, ETC."	"PK"	"pack"	""	""
"DO36808"	"Department of General Services"	"09/25/2002"	"50420-245 - MORTAR, PORCELAIN 1"	2	12.32	"999999999999"	"VWR SCIENTIFIC"	"405 HERON DRIVE"	"BRIDGEPORT "	"NJ"	"08014"	""	"17500"	"CHEMICAL LABORATORY EQUIPMENT AND SUPPLIES"	"EA"	"each"	""	""
"DO11245"	"Department of Motor Vehicles"	"03/19/2002"	"Serial Cable, 6', db25 to db9"	0	12.99	"999999999999"	"RadioShack "	"1601 Willow Lawn "	"Richmond"	"VA"	"23230-0000"	"RadioShack.com"	"72555"	"Telephone Equipment and Piece Parts (Not Lines or Otherwise Listed)"	"EA"	"each"	""	""
"DO10767"	"Department of Corrections"	"03/14/2002"	"Distribute DOC newsletter issue 4 Vol 1. separate & stuff envelopes. includes shipping  & handling."	0	.032319	"999999999999"	"VCE"	"6900 Atmore Dr."	"Richmond"	"VA"	"23225"	""	"96600"	"PRINTING AND RELATED SERVICES"	"EA"	"each"	""	""
"DO36801"	"Virginia State University"	"09/25/2002"	"Deluxe Staple Remover, Extra Wide Holding Tabs, Black"	3	2.05	"c16503"	"Supply Room"	"PO Box 1810"	"Ashland"	"VA"	"23005"	"achildress@thesupplyroom.com"	"60582"	"Staple Removers"	"EA"	"each"	"SWI38101"	"SWI38101"
"DO36801"	"Virginia State University"	"09/25/2002"	"Pocket Accent Highlighter, Fine Point, Lavender"	5	.52	"c16503"	"Supply Room"	"PO Box 1810"	"Ashland"	"VA"	"23005"	"achildress@thesupplyroom.com"	"62090"	"Pens, Marker Type (Including Highlighter Types)"	"EA"	"each"	"SAN27019"	"SAN27019"
"DO36801"	"Virginia State University"	"09/25/2002"	"3 Ring Poly Binder, 1in Capacity, 11inx8-1/2in, Blue"	10	2.94	"c16503"	"Supply Room"	"PO Box 1810"	"Ashland"	"VA"	"23005"	"achildress@thesupplyroom.com"	"61509"	"Binders: Chain, Post, Prong, Ring, etc."	"EA"	"each"	"AVE13300"	"AVE13300"
"DO36801"	"Virginia State University"	"09/25/2002"	"Permanent Glue Stic, 1.27 Oz, Clear"	5	.79	"c16503"	"Supply Room"	"PO Box 1810"	"Ashland"	"VA"	"23005"	"achildress@thesupplyroom.com"	"45003"	"Adhesives: Glue and Glue Guns, Gum, Paste, etc."	"EA"	"each"	"AVE00196"	"AVE00196"
"DO10213"	"Department of Correctional Education"	"03/11/2002"	"GX 150 GRAY SMALL DESKTOP WITH INTEL PENTIUM III PROCESSOR QUOTE #77635309"	0	5032	"c24916"	"DELL MARKETING LP"	"One Dell Way, RR8"	"Round Rock"	"TX"	"78682"	"andy_woodard@dell.com"	"20453"	"Microcomputers, Desktop or Towerbased"	"EA"	"each"	""	""
"DO10151"	"Radford University"	"03/11/2002"	"Printer, Laserjet
Hewlett Packard 8150N, Model #C4266A"	0	2397.22	"999999999999"	"SIG Enterprise Network"	"600 Pegasus Court
Suite 103"	"Winchester"	"VA"	"22603"	""	"20477"	"Printers, Laser"	"EA"	"each"	""	""

"DO10151"	"Radford University"	"03/11/2002"	"Module, 64MB RAM For Hewlett Packard 8150N Printer
Item #KIN-KTH-LJ4 100164"	0	36.4	"999999999999"	"SIG Enterprise Network"	"600 Pegasus Court
Suite 103"	"Winchester"	"VA"	"22603"	""	"20442"	"Expansion/Accelerator Boards: Hard Drive Controller Cards, Memory, Processor, SCSI, Video Cards, etc."	"EA"	"each"	""	""

"DO10151"	"Radford University"	"03/11/2002"	"Tray, 2000 Sheet Input For Hewlett Packard 5si & 8000 Printer.
Hewlett Packard Model #C4781A"	0	109	"999999999999"	"SIG Enterprise Network"	"600 Pegasus Court
Suite 103"	"Winchester"	"VA"	"22603"	""	"60042"	"Copy Machines, Laser, Including Parts and Accessories"	"EA"	"each"	""	""

"DO36734"	"Department of Corrections"	"09/25/2002"	"MUSTARD PURE LIGHT PLASTIC 4/1"	3	7.272375	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39348"	"Dressings, Condiments, Sauces, and Gravies"	"CS"	"case"	"911191"	""
"DO36814"	"Virginia State University"	"09/25/2002"	"Brother Fax Cartridge, For Intelifax, 450 Page Yield"	1	26.46	"c16503"	"Supply Room"	"PO Box 1810"	"Ashland"	"VA"	"23005"	"achildress@thesupplyroom.com"	"20772"	"Printer Accessories and Supplies: Chemicals, Forms Tractors, Inks and Cartridges, Label Sheets, Sheet Feeders, Toner Cartridges, Wheels, etc."	"EA"	"each"	"BRTPC201"	"BRTPC201"
"DO36813"	"Fluvanna Correctional Center"	"09/25/2002"	"Women's Briefs, #AP2021, Size 10"	15	8.6	"999999999999"	"Goldwater Industries"	"17221 S. Western Avenue"	"Gardena"	"CA"	"90247"	""	"20100"	"CLOTHING ACCESSORIES (SEE CLASS 800 FOR SHOES AND BOOTS)"	"DZN"	"dozen"	""	""
"DO9379"	"Virginia School for the Deaf and Blind - Hampton"	"03/04/2002"	"Reupholster the chairs in the IEP room Pattern:  Shire, Color:  Academy.  Code 4000"	0	195	"c21685"	"VIRGINIA CORRECTIONAL ENTERPRISES"	"8030 White Bark Terrace"	"Richmond"	"VA"	"23237"	"vcecustsrvc@vadoc.state.va.us"	"26544"	"Material, Upholstery (Fabric), Furniture and Auto"	"EA"	"each"	""	""
"DO36559"	"Department of Corrections"	"09/24/2002"	"19" POLISH PAD WHITE         5"	2	9.3921	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"00514"	"Abrasives, Coated: Cloth, Fiber, Sandpaper, etc."	"CS"	"case"	"930202"	""
"DO36559"	"Department of Corrections"	"09/24/2002"	"FLOOR/FINISH SEALER ZF175  5'S"	1	67.9883	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"48554"	"Floor Polishes and Waxes, Floor Sealer, and Dust Mop Treating Compound"	"CT"	"carton"	"930238"	""
"DO36734"	"Department of Corrections"	"09/25/2002"	"PEANUT BUTTER 6/5#"	12	28.063475	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39368"	"Peanut Butter"	"CS"	"case"	"911640"	""
"DO9653"	"Bland Correctional Center"	"03/06/2002"	"12-month lease of Xerox 5830T Copier, (includes maintenance and supplies) Base unit 20,000 copies @.0113=$226.00."	0	226	"c2372"	"XEROX CORPORATION"	"1700 Bayberry Ct, Suite 200"	"Richmond"	"VA"	"23226"	"linda.campbell@usa.xerox.com"	"60038"	"Copy Machines, Bond (Plain) Paper Type Including Parts and Accessories"	"MON"	"month"	""	""
"DO9653"	"Bland Correctional Center"	"03/06/2002"	"12-month lease 20-bin sorter/finisher with stapler for the above copier."	0	75	"c2372"	"XEROX CORPORATION"	"1700 Bayberry Ct, Suite 200"	"Richmond"	"VA"	"23226"	"linda.campbell@usa.xerox.com"	"60038"	"Copy Machines, Bond (Plain) Paper Type Including Parts and Accessories"	"MON"	"month"	""	""
"DO36734"	"Department of Corrections"	"09/25/2002"	"RICE, WHITE, PARBOLED      25#"	6	5.38945	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39336"	"Cereals, Uncooked"	"BX"	"box"	"912221"	""
"DO36515"	"Sussex Correctional Center I"	"09/24/2002"	"6103-XX  Work Boot, Color Brown (14), Size 10Y"	3	28.75	"c21685"	"VIRGINIA CORRECTIONAL ENTERPRISES"	"8030 White Bark Terrace"	"Richmond"	"VA"	"23237"	"vcecustsrvc@vadoc.state.va.us"	"80008"	"Boots, Leather"	"PR"	"pair"	""	""
"DO9076"	"Department of Corrections"	"03/01/2002"	"Refuse Collection Service, twice per week (Tuesday & Friday), two (2) 8 cu yd containers per the Scope of Services and Terms & Condition contract #DOC-02-022"	0	275.82	"e2206"	"BFI Waste Services, LLC"	"2490 Charles City Road"	"Richmond"	"VA"	"23231"	"william.dejohn@awin.com"	"91027"	"Garbage/Trash Removal and Disposal"	"MON"	"month"	""	""
"DO36559"	"Department of Corrections"	"09/24/2002"	"SOAP UNWR LISA       200/3. 0Z"	2	23.20395	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"48586"	"Soap, Hand: Bar, Liquid, and Powdered"	"CS"	"case"	"930042"	""
"DO36559"	"Department of Corrections"	"09/24/2002"	"GLASS CLEANER NAT CHE SUPER 4/1"	1	22.4936	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"48500"	"JANITORIAL SUPPLIES, GENERAL LINE"	"CS"	"case"	"930346"	""
"DO36525"	"Catawba Hospital"	"09/24/2002"	"BEEF ROAST,TOP,ROUND SOLD- LBS"	150	1.96185	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39049"	"Meat: Cured, Fresh, and Frozen"	"LBR"	"pound"	"960108"	""
"DO36496"	"Department of General Services"	"09/24/2002"	"M-8150B-SS;  Surrogate Standards for Chlorinated Herbicides by GC/ECD; 1 x 1-mL"	2	10	"999999999999"	"AccuStandard"	"125 Market Street"	"New Haven"	"Ct"	"06513"	""	"17500"	"CHEMICAL LABORATORY EQUIPMENT AND SUPPLIES"	"EA"	"each"	""	""
"DO36506"	"College of William and Mary"	"09/24/2002"	"TOILET TISSUE,ROL 155-90 96RLS"	40	30.453775	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"64075"	"Toilet Tissues, Paper Towels, and Toilet Seat Covers"	"CS"	"case"	"920036"	""
"DO36506"	"College of William and Mary"	"09/24/2002"	"SOAP UNWR LISA       200/3. 0Z"	10	23.20395	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"48586"	"Soap, Hand: Bar, Liquid, and Powdered"	"CS"	"case"	"930042"	""
"DO36506"	"College of William and Mary"	"09/24/2002"	"SKIN CLEANSER LIQ LOTION   4/1"	20	31.0288	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"48586"	"Soap, Hand: Bar, Liquid, and Powdered"	"CS"	"case"	"930065"	""
