SRC_SOURCE_KEY,SRCCLS_SOURCE_CLASS_CODE,SRCCLS_SOURCE_CLASS_NAME,SRC_SOURCE_CODE,,SRC_SOURCE_NAME
847,93,FEDERAL GRANTS AND CONTRACTS,93395,,CANCER TREATMENT RESEARCH
901,93,FEDERAL GRANTS AND CONTRACTS,93563,,CHILD SUPPORT ENFORCEMENT
5,84,FEDERAL GRANTS AND CONTRACTS,84004,,CIVIL RIGHTS TRAINING & ADVISORY SERVICES
87,84,FEDERAL GRANTS AND CONTRACTS,84027,,SPECIAL EDUCATION-STATE GRANTS
95,84,FEDERAL GRANTS AND CONTRACTS,84047,,TRIO-UPWARD BOUND
138,84,FEDERAL GRANTS AND CONTRACTS,84103,,HIGHER EDUCATION-TRIO STAFF TRAINING PROGRAM
245,84,FEDERAL GRANTS AND CONTRACTS,84141,,MIGRANT ED HS EQUIVALENCY PROGRAM
319,84,FEDERAL GRANTS AND CONTRACTS,84168,,EISENHOWER PROFESSIONAL DEVELOPMENT-FED ACTIVITIES
470,84,FEDERAL GRANTS AND CONTRACTS,84185,,BYRD HONORS SCHOLARSHIPS
506,84,FEDERAL GRANTS AND CONTRACTS,84200,,GRADUATE ASSISTANCE AREAS OF NATIONAL NEED
585,84,FEDERAL GRANTS AND CONTRACTS,84235,,REHAB SERVICES DEMONSTRATION/TRAINING SPECIAL PGM
644,84,FEDERAL GRANTS AND CONTRACTS,84281,,EISENHOWER PROFESSIONAL DEVELOPMENT STATE GRANTS
686,84,FEDERAL GRANTS AND CONTRACTS,84318,,TECHNOLOGY LITERACY CHALLENGE FUND
725,84,FEDERAL GRANTS AND CONTRACTS,84331,,GRANTS TO STATES FOR INCARCERATED YOUTH OFFENDERS
782,84,FEDERAL GRANTS AND CONTRACTS,84340,,CLASS SIZE REDUCTION
864,02,RIGHTS AND PRIVILEGES,02304,,LIMITED PARTNERSHIP ANNUAL REGISTRATION FEE
918,02,RIGHTS AND PRIVILEGES,02346,,CEMETERY COMPANY FILING FEE
972,02,RIGHTS AND PRIVILEGES,02354,,"APPLICATION FOR REGISTRATION, FOREIGN LIMITED LIAB"
1045,02,RIGHTS AND PRIVILEGES,02362,,NEW APPLICATIONS LIMITED LIABILITY PART-FOREIGN
3,02,RIGHTS AND PRIVILEGES,02698,,MEDICAID MATERNAL CLINIC VISITS
173,02,RIGHTS AND PRIVILEGES,02706,,NURSING HOME FILING FEES
239,02,RIGHTS AND PRIVILEGES,02714,,ADMINISTRATIVE PENALTY PAYMENT
330,02,RIGHTS AND PRIVILEGES,02722,,WASTE VESSEL OFF-LOADING FEE
363,02,RIGHTS AND PRIVILEGES,02798,,LATE REGISTRATION RENEWAL FEES
422,03,SALES OF PROPERTY AND COMMODITIES,03007,,SALE OF GOODS/SERVICES TO STATE ENTITIES
501,03,SALES OF PROPERTY AND COMMODITIES,03019,,BOARD & DINING HALL RECEIPTS
515,03,SALES OF PROPERTY AND COMMODITIES,03028,,SALE OF EMERGENCY HOME FUEL OIL
614,02,RIGHTS AND PRIVILEGES,02214,,LIME LICENSE
659,02,RIGHTS AND PRIVILEGES,02222,,ANNUAL RESTAURANT PERMITS
722,02,RIGHTS AND PRIVILEGES,02230,,TEMPORARY ENVIRONMENTAL HEALTH PERMIT FEE
819,93,FEDERAL GRANTS AND CONTRACTS,93936,,NATL INST-HEALTH ACQ IMMUN SYD RES LOAN REPAY PGM
876,93,FEDERAL GRANTS AND CONTRACTS,93958,,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES
929,93,FEDERAL GRANTS AND CONTRACTS,93988,,COOP AGREEMENTS FOR STATE-BASED DIABETES PROGRAMS
940,94,FEDERAL GRANTS AND CONTRACTS,94003,,STATE COMMISSIONS
63,05,ASSESSMENTS AND RECEIPTS FOR SUPPORT FOR SPECIAL SERVICES,05007,,ASSESSMENTS UNINSURED MOTORISTS FUND
77,05,ASSESSMENTS AND RECEIPTS FOR SUPPORT FOR SPECIAL SERVICES,05015,,MAINTENANCE/OPERATION CHARGES OF STATE BUILDINGS
217,05,ASSESSMENTS AND RECEIPTS FOR SUPPORT FOR SPECIAL SERVICES,05023,,BANK RELOCATION INVESTIGATION FEES
1665,10,FEDERAL GRANTS AND CONTRACTS,10675,,URBAN AND COMMUNITY FORESTRY PROGRAM
1067,97,FEDERAL GRANTS AND CONTRACTS,97002,,RESEARCH PROJECTS
1075,97,FEDERAL GRANTS AND CONTRACTS,97032,,CRISIS COUNSELING
1183,97,FEDERAL GRANTS AND CONTRACTS,97052,,EMERGENCY OPERATIONS CENTERS
1300,10,FEDERAL GRANTS AND CONTRACTS,10761,,TECHNICAL ASSISTANCE AND TRAINING GRANTS
1517,10,FEDERAL GRANTS AND CONTRACTS,10901,,RESOURCE CONSERVATION & DEVELOPMENT
1585,10,FEDERAL GRANTS AND CONTRACTS,10960,,TECHNICAL AGRICULTURAL ASSISTANCE
1593,11,FEDERAL GRANTS AND CONTRACTS,11303,,ECONOMIC DEVELOPMENT - TECHNICAL ASSISTANCE
1681,11,FEDERAL GRANTS AND CONTRACTS,11426,,FIN ASST NATIONAL CENTERS COASTAL OCEAN SCIENCE
1689,11,FEDERAL GRANTS AND CONTRACTS,11449,,INDEPENDENT EDUCATION & SCIENCE PROJ & PGMS
1697,11,FEDERAL GRANTS AND CONTRACTS,11467,,METEOROLOGIC & HYDROLOGIC MODERNIZATION DEV
1725,11,FEDERAL GRANTS AND CONTRACTS,11610,,NATIONAL CENTER FOR STANDARDS & CERTIFICATION INFO
1733,12,FEDERAL GRANTS AND CONTRACTS,12109,,"PROTECTION, CLEARING AND STRAIGHTENING CHANNELS"
1747,12,FEDERAL GRANTS AND CONTRACTS,12431,,BASIC SCIENTIFIC RESEARCH
1755,12,FEDERAL GRANTS AND CONTRACTS,12910,,RESEARCH AND TECHNOLOGY DEVELOPMENT
1763,14,FEDERAL GRANTS AND CONTRACTS,14228,,COMMUNITY DEVELOPMENT BLOCK GRANTS-STATES PROGRAM
1771,14,FEDERAL GRANTS AND CONTRACTS,14401,,FAIR HOUSING ASSISTANCE PROGRAM-STATE & LOCAL
1462,15,FEDERAL GRANTS AND CONTRACTS,15631,,PARTNERS FOR FISH AND WILDLIFE
1470,15,FEDERAL GRANTS AND CONTRACTS,15811,,GAP ANALYSIS PROGRAM
1478,15,FEDERAL GRANTS AND CONTRACTS,15926,,AMERICAN BATTLEFIELD PROTECTION
1624,16,FEDERAL GRANTS AND CONTRACTS,16307,,COMBINED DNA INDEX SYSTEM
1632,16,FEDERAL GRANTS AND CONTRACTS,16549,,PART E - STATE CHALLENGE ACTIVITIES
1640,16,FEDERAL GRANTS AND CONTRACTS,16590,,GRANTS TO ENCOURAGE ARREST POLICY
1674,17,FEDERAL GRANTS AND CONTRACTS,17000,,OTHER ASSIST - US DEPT OF LABOR
1702,17,FEDERAL GRANTS AND CONTRACTS,17235,,SENIOR COMMUNITY SERV EMPLOY PROGRAM
1710,17,FEDERAL GRANTS AND CONTRACTS,17257,,ONE-STOP CAREER CENTER INITIATIVE
1718,17,FEDERAL GRANTS AND CONTRACTS,17503,,OCCUPATIONAL SAFETY AND HEALTH STATE PROGRAM
22,19,FEDERAL GRANTS AND CONTRACTS,19419,,PROFESSIONAL DEVELOPMENT - TEACHER TRAINING
30,20,FEDERAL GRANTS AND CONTRACTS,20109,,AIR TRANSPORTATION CENTERS OF EXCELLENCE
73,20,FEDERAL GRANTS AND CONTRACTS,20502,,FEDERAL TRANSIT GRANT FOR UNIVERSITY RES TRNG
106,20,FEDERAL GRANTS AND CONTRACTS,20516,,JOB ACCESS REVERSE COMMUTE
145,20,FEDERAL GRANTS AND CONTRACTS,20703,,INTERAGENCY HAZARDOUS MATERIALS TRAINING/PLANNING
156,27,FEDERAL GRANTS AND CONTRACTS,27011,,INTERGOVERNMENTAL PERSONNEL ACT MOBILITY PROGRAM
198,43,FEDERAL GRANTS AND CONTRACTS,43002,,TECHNOLOGY TRANSFER
274,45,FEDERAL GRANTS AND CONTRACTS,45160,,PROMOTION OF THE HUMANITIES-FELLOWSHIPS&STIPENDS
356,45,FEDERAL GRANTS AND CONTRACTS,45310,,STATE LIBRARY PROGRAM
392,47,FEDERAL GRANTS AND CONTRACTS,47070,,COMPUTER AND INFORMATION SCIENCE AND ENGINEERING
435,59,FEDERAL GRANTS AND CONTRACTS,59000,,OTHER ASSIST - SMALL BUSINESS ADMINISTRATION
497,64,FEDERAL GRANTS AND CONTRACTS,64000,,OTHER ASSIST - US DEPT OF VETERANS AFFAIRS
639,66,FEDERAL GRANTS AND CONTRACTS,66032,,STATE INDOOR RADON GRANTS
713,06,INSTITUTIONAL REVENUE,06141,,"OTHER EDU, HOSPITAL-PER DIEM PAY FROM PATIENTS"
766,06,INSTITUTIONAL REVENUE,06241,,MEDICAL HOSP INPATIENT REVENUES
845,06,INSTITUTIONAL REVENUE,06327,,SLH LOCALITY CONTRIBUTION
893,06,INSTITUTIONAL REVENUE,06443,,MH & MR PRIVATE PAY ACCOUNTS
116,02,RIGHTS AND PRIVILEGES,02129,,RETAIL FRANCHISE REGISTRATION FEES
247,02,RIGHTS AND PRIVILEGES,02137,,COMMISSION MERCHANTS OR BROKERS LICENSES
286,02,RIGHTS AND PRIVILEGES,02145,,DISTRIB OF MOBILE HOME INSPECT FEES-ADMIN AGENCIES
300,02,RIGHTS AND PRIVILEGES,02153,,HOSPITALS & NURSING HOMES LICENSES
374,02,RIGHTS AND PRIVILEGES,02161,,TRAPPING LICENSES
419,02,RIGHTS AND PRIVILEGES,02169,,HAZARD WASTE MGMT FACILITY PERMIT MODIF FEES
453,02,RIGHTS AND PRIVILEGES,02177,,SURFACE MINING PERMITS
495,02,RIGHTS AND PRIVILEGES,02185,,CHARITABLE ORGANIZATIONS EXEMPTION FEES
534,02,RIGHTS AND PRIVILEGES,02193,,PUBLIC WEIGHMASTER FEE
573,02,RIGHTS AND PRIVILEGES,02201,,REGISTRATION SMALL PACKAGED FEED
606,02,RIGHTS AND PRIVILEGES,02209,,REGISTRATION OF SOIL AMENDMENTS
642,02,RIGHTS AND PRIVILEGES,02217,,SMALL MINES SAFETY TRAINING FEES
688,02,RIGHTS AND PRIVILEGES,02225,,RESTAURANT-ENVIRONMENTAL HEALTH PLAN REVIEW FEE
805,93,FEDERAL GRANTS AND CONTRACTS,93924,,RYAN WHITE HIV/AIDS DENTAL REIMBURSEMENTS
862,93,FEDERAL GRANTS AND CONTRACTS,93941,,HIV DEMONSTRATN/RESEARCH/PUB&PROF EDUCATION PRJ
921,93,FEDERAL GRANTS AND CONTRACTS,93962,,HEALTH ADMIN TRAINEESHIPS & SPECIAL PROJECTS PRG
932,93,FEDERAL GRANTS AND CONTRACTS,93991,,PREVENTIVE HEALTH AND HEALTH SERVICES BLOCK GRANT
969,94,FEDERAL GRANTS AND CONTRACTS,94006,,AMERICORPS STATE PROGRAMS
66,05,ASSESSMENTS AND RECEIPTS FOR SUPPORT FOR SPECIAL SERVICES,05010,,PRIVATE REVIEW AGENTS FEES
108,05,ASSESSMENTS AND RECEIPTS FOR SUPPORT FOR SPECIAL SERVICES,05018,,BANK ASSESSMENT FEES
262,05,ASSESSMENTS AND RECEIPTS FOR SUPPORT FOR SPECIAL SERVICES,05026,,BANK MERGERS
276,05,ASSESSMENTS AND RECEIPTS FOR SUPPORT FOR SPECIAL SERVICES,05034,,MORTGAGE LENDER/BROKER ACQUISITION FEE
312,05,ASSESSMENTS AND RECEIPTS FOR SUPPORT FOR SPECIAL SERVICES,05042,,CONSUMER FINANCE ASSESSMENTS
568,93,FEDERAL GRANTS AND CONTRACTS,93247,,ADVANCED EDUCATION NURSING GRANT PROGRAM
619,93,FEDERAL GRANTS AND CONTRACTS,93268,,IMMUNIZATION GRANTS
733,93,FEDERAL GRANTS AND CONTRACTS,93281,,MENTAL HEALTH RESEARCH CAREER/SCIENTIST AWARDS
801,93,FEDERAL GRANTS AND CONTRACTS,93333,,CLINICAL RESEARCH
815,93,FEDERAL GRANTS AND CONTRACTS,93390,,ACADEMIC RESEARCH ENHANCEMENT AWARD
854,93,FEDERAL GRANTS AND CONTRACTS,93399,,CANCER CONTROL
905,93,FEDERAL GRANTS AND CONTRACTS,93569,,COMMUNITY SERVICES BLOCK GRANT
38,84,FEDERAL GRANTS AND CONTRACTS,84013,,TITLE 1 PGM FOR NEGLECTED & DELINQUENT CHILDREN
91,84,FEDERAL GRANTS AND CONTRACTS,84033,,FEDERAL WORK-STUDY PROGRAM
131,84,FEDERAL GRANTS AND CONTRACTS,84066,,TRIO-EDUCATIONAL OPPORTUNITY CENTERS
176,84,FEDERAL GRANTS AND CONTRACTS,84128,,REHAB SERVICES-SERVICE PROJECTS
255,84,FEDERAL GRANTS AND CONTRACTS,84160,,TRAINING INTERPRETERS FOR DEAF INDIVIDUALS
409,84,FEDERAL GRANTS AND CONTRACTS,84176,,DOUGLAS TEACHER SCHOLARSHIPS
474,84,FEDERAL GRANTS AND CONTRACTS,84194,,BILINGUAL EDUCATION SUPPORT SERVICES
581,84,FEDERAL GRANTS AND CONTRACTS,84216,,CAPITAL EXPENSES
592,84,FEDERAL GRANTS AND CONTRACTS,84263,,REHAB TRAINING-EXPERIMENTAL & INNOVATIVE TRAINING
654,84,FEDERAL GRANTS AND CONTRACTS,84302,,REGIONAL TECHNOLOGY IN EDUCATION CONSORTIA
696,84,FEDERAL GRANTS AND CONTRACTS,84325,,SPEC ED-PERSONNEL PREP IMPROVE SERV FOR CHILDREN
732,84,FEDERAL GRANTS AND CONTRACTS,84335,,CHILD CARE ACCESS MEANS PARENTS IN SCHOOL
789,02,RIGHTS AND PRIVILEGES,02232,,LEGAL SERVICES PLANS SELLERS REGISTRATION FEES
874,02,RIGHTS AND PRIVILEGES,02308,,SERVICE OF PROCESS FEES
965,02,RIGHTS AND PRIVILEGES,02350,,RESERVE NAME DOMESTIC/FOREIGN LIMITED PARTNERSHIP
1041,02,RIGHTS AND PRIVILEGES,02358,,RENEWALS LIMITED LIABILITY PARTNERSHIPS
1049,02,RIGHTS AND PRIVILEGES,02402,,REGULATORY BOARD EXAMINATION FEES
163,02,RIGHTS AND PRIVILEGES,02702,,WATERWORKS OPERATION FEES
200,02,RIGHTS AND PRIVILEGES,02710,,FEE FOR PAYROLL GARNISHMENT
323,02,RIGHTS AND PRIVILEGES,02718,,SOLID WASTE ANNUAL PERMIT FEE
376,03,SALES OF PROPERTY AND COMMODITIES,03003,,"SALES FROM FED. SURPLUS TO CITIES, COUNTIES & TOWN"
429,03,SALES OF PROPERTY AND COMMODITIES,03014,,SALES OF EQUIPMENT
508,03,SALES OF PROPERTY AND COMMODITIES,03024,,RECOVERY OF SERVICE CHARGES - ELECTRONIC DATA PROC
621,03,SALES OF PROPERTY AND COMMODITIES,03042,,LOTTERY INSTANT TICKET VENDING MACHINE RECEIPTS
635,03,SALES OF PROPERTY AND COMMODITIES,03311,,VPEP - CONTRACT TERMINATION/CANCELLATION FEE
671,03,SALES OF PROPERTY AND COMMODITIES,03332,,VEST - CONTRIBUTIONS
716,04,"DONATIONS, RECEIPTS AND TRANSFERS",04000,,"PRIVATE DONATIONS, GIFTS AND GRANTS"
746,04,"DONATIONS, RECEIPTS AND TRANSFERS",04008,,DONATIONS - HOME ENERGY ASSISTANCE FUND
785,04,"DONATIONS, RECEIPTS AND TRANSFERS",04208,,RECEIPTS FOR FOREST FIRE CONTROL
881,02,RIGHTS AND PRIVILEGES,02521,,COMMUNITY ASSOCIATION ANNUAL REPORT FEES
892,02,RIGHTS AND PRIVILEGES,02530,,ENTERPRISE PROGRAM FEES
1019,02,RIGHTS AND PRIVILEGES,02538,,HONOR BOAT LAUNCH/PARKING
1247,02,RIGHTS AND PRIVILEGES,02600,,FEES FOR MISC SERVICES
1255,02,RIGHTS AND PRIVILEGES,02608,,NOTARIES COMMISSION FEES
19,19,FEDERAL GRANTS AND CONTRACTS,19405,,COLLEGE AND UNIVERSITY PARTNERSHIPS PROGRAM
27,20,FEDERAL GRANTS AND CONTRACTS,20007,,BRIDGE ALTERATION
