SPRG_SUB_PROGRAM_KEY,PFCN_FUNCTION_CODE,PFCN_FUNCTION_NAME,PRG_PROGRAM_CODE,PRG_PROGRAM_NAME,SPRG_SUB_PROGRAM_CODE,,SPRG_SUB_PROGRAM_NAME
2053,7,GENERAL GOVERNMENT,722,DISASTER PLANNING AND OPERATIONS,72299,,ADMINISTRATIVE AND SUPPORT SERVICES
2054,7,GENERAL GOVERNMENT,723,ELECTORAL SERVICES,72301,,FINANCIAL ASSISTANCE FOR PORT ACTIVITIES
2056,6,TRANSPORTATION,651,AIR TRANSPORTATION SYSTEM MAINTENANCE AND OPER,65199,,STATE AIRCRAFT FLIGHT OPERATIONS
2057,6,TRANSPORTATION,652,AIR TRANSPORTATION SYSTEM PLANNING,65201,,ADMINISTRATIVE AND SUPPORT SERVICES
2058,6,TRANSPORTATION,652,AIR TRANSPORTATION SYSTEM PLANNING,65202,,FINANCIAL ASSISTANCE FOR FIRE SERVICES PROGRAMS
2059,7,GENERAL GOVERNMENT,723,ELECTORAL SERVICES,72303,,FINANCIAL ASSISTANCE FOR ATTORNEYS FOR THE COMMONWEALTH
2061,5,RESOURCE AND ECONOMIC DEVELOPMENT,554,REGULATION OF FOOD,55404,,FINANCIAL ASSISTANCE FOR CIRCUIT COURT CLERKS
2062,5,RESOURCE AND ECONOMIC DEVELOPMENT,554,REGULATION OF FOOD,55405,,FINANCIAL ASSISTANCE FOR LOCAL TREASURERS
2063,5,RESOURCE AND ECONOMIC DEVELOPMENT,554,REGULATION OF FOOD,55499,,EMERGENCY PREPAREDNESS
2066,5,RESOURCE AND ECONOMIC DEVELOPMENT,555,REGULATION OF INDIVIDUAL SAFETY,55503,,EMERGENCY RESPONSE AND RECOVERY
2067,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51914,,VIRGINIA EMERGENCY OPERATIONS CENTER
2068,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51915,,FINANCIAL ASSISTANCE FOR ELECTORAL SERVICES
2069,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51916,,TECHNOLOGY MANAGEMENT OVERSIGHT SERVICES
2070,5,RESOURCE AND ECONOMIC DEVELOPMENT,555,REGULATION OF INDIVIDUAL SAFETY,55504,,FINANCIAL ASSISTANCE TO LOCAL GOV FOR JUVENILE JUSTICE SERVICES
2071,5,RESOURCE AND ECONOMIC DEVELOPMENT,555,REGULATION OF INDIVIDUAL SAFETY,55599,,DISTRIBUTION OF FEES FROM AND TO REG. ENTITIES AND LOCALITIES
2072,5,RESOURCE AND ECONOMIC DEVELOPMENT,556,REGULATION OF INSURANCE COMPANIES,55601,,"AIR TRANSPORTATION SYSTEM PLANNING, REG., COMM. AND EDUCATION"
2073,5,RESOURCE AND ECONOMIC DEVELOPMENT,556,REGULATION OF INSURANCE COMPANIES,55602,,"INFORMATION TECHNOLOGY SYSTEMS, TELECOM AND RECORDS MGMT"
2074,5,RESOURCE AND ECONOMIC DEVELOPMENT,556,REGULATION OF INSURANCE COMPANIES,55603,,CRIMINAL JUSTICE TRAINING AND STANDARDS
2075,5,RESOURCE AND ECONOMIC DEVELOPMENT,556,REGULATION OF INSURANCE COMPANIES,55699,,OPERATION OF COMMUNITY RESIDENTIAL AND NONRESIDENTIAL SERVICES
2076,5,RESOURCE AND ECONOMIC DEVELOPMENT,557,REGULATION OF PRODUCTS,55701,,SUPERVISION OF OFFENDERS AND RE-ENTRY SERVICES
2077,5,RESOURCE AND ECONOMIC DEVELOPMENT,557,REGULATION OF PRODUCTS,55702,,CHILDRENS HEALTH INSURANCE PROGRAM DELIVERY
2078,5,RESOURCE AND ECONOMIC DEVELOPMENT,557,REGULATION OF PRODUCTS,55703,,PROGRAM MANAGEMENT SERVICES
2079,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51917,,FINANCIAL ASSISTANCE FOR SELF-SUFFICIENCY PROGRAMS AND SERVICES
2080,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51918,,MEDICAID PROGRAM SERVICES
2081,7,GENERAL GOVERNMENT,747,PUBLIC/PRIVATE PARTNERSHIP,74700,,FINANCIAL ASSISTANCE FOR LOCAL SOCIAL SERVICES STAFF
2083,7,GENERAL GOVERNMENT,749,ADMINISTRATIVE AND SUPPORT SERVICES,74900,,FACILITY ADMINISTRATIVE AND SUPPORT SERVICES
2084,7,GENERAL GOVERNMENT,751,CONTINGENT PERSONAL PROPERTY TAX RELIEF PGM,75100,,FOREST MANAGEMENT
2085,7,GENERAL GOVERNMENT,756,COMPENSATION SUPPLEMENTS (LOCAL),75600,,LAND  AND RESOURCE MANAGEMENT
2087,1,EDUCATION,111,"HIGHER ED ACAD, FISCAL AND FACILITY PLAN AND COORD",11102,,WATER PROTECTION
2088,1,EDUCATION,111,"HIGHER ED ACAD, FISCAL AND FACILITY PLAN AND COORD",11103,,AIR PROTECTION
2089,1,EDUCATION,111,"HIGHER ED ACAD, FISCAL AND FACILITY PLAN AND COORD",11104,,ENVIRONMENTAL FINANCIAL ASSISTANCE
2091,7,GENERAL GOVERNMENT,759,DEFERRED COMPENSATION MATCH,75900,,COMMUNITY DEVELOPMENT SERVICES
2092,7,GENERAL GOVERNMENT,760,LINE OF DUTY,76000,,ECONOMIC DEVELOPMENT SERVICES
2093,1,EDUCATION,171,FIN ASSIST FOR PUBLIC EDUCATION (CATEGORICAL),17199,,CONSUMER AFFAIRS SERVICES
2094,1,EDUCATION,172,FIN ASSIST FOR PUBLIC SCHOOL EMPLOYEE BENEFITS,17201,,FOOD SAFETY AND SECURITY
2095,1,EDUCATION,172,FIN ASSIST FOR PUBLIC SCHOOL EMPLOYEE BENEFITS,17202,,REGULATION OF PUBLIC UTILITIES
2096,7,GENERAL GOVERNMENT,762,SOCIAL SECURITY BENEFITS (LOCAL),76200,,GROUND TRANSPORTATION SYSTEM SAFETY SERVICES
2097,7,GENERAL GOVERNMENT,763,SOCIAL SECURITY BENEFITS (STATE),76300,,FINANCIAL ASSISTANCE FOR PUBLIC TRANSPORTATION
2098,7,GENERAL GOVERNMENT,765,SUPPLEMENTAL RETIREMENT (LOCAL),76500,,FINANCIAL ASSISTANCE FOR RAIL PROGRAMS
2099,1,EDUCATION,111,"HIGHER ED ACAD, FISCAL AND FACILITY PLAN AND COORD",11105,,FINANCIAL ASSISTANCE FOR AIRPORTS
2101,6,TRANSPORTATION,652,AIR TRANSPORTATION SYSTEM PLANNING,65203,,ELECTRONIC GOVERNMENT SERVICES
2102,6,TRANSPORTATION,652,AIR TRANSPORTATION SYSTEM PLANNING,65204,,REAL ESTATE SERVICES
2103,6,TRANSPORTATION,652,AIR TRANSPORTATION SYSTEM PLANNING,65299,,PHYSICAL PLANT MANAGEMENT SERVICES
2106,5,RESOURCE AND ECONOMIC DEVELOPMENT,504,LEISURE AND RECREATION SERVICES,50405,,FIRE TRAINING AND TECHNICAL SUPPORT SERVICES
2107,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51919,,DISTRIBUTION OF TOBACCO SETTLEMENT
2108,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51920,,ARCHITECTURAL AND ANTIQUITY RESEARCH PLANNING AND COORDINATION
2109,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51921,,COMPENSATION AND BENEFIT SUPPLEMENTS
2111,6,TRANSPORTATION,654,AIRPORT ASSISTANCE,65402,,PAYMENTS FOR SPECIAL OR UNANTICIPATED EXPENDITURES
2112,6,TRANSPORTATION,654,AIRPORT ASSISTANCE,65403,,COMPUTER SYSTEMS SERVICES
2113,6,TRANSPORTATION,654,AIRPORT ASSISTANCE,65499,,TELECOMMUNICATIONS SERVICES
2114,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67901,,STATEWIDE COMMUNICABLE AND CHRONIC DISEASE PREVENT. AND CONTROL
2115,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67902,,HIGHWAY SYSTEM ACQUISITION AND CONSTR. THROUGH BOND PROCEEDS
2117,5,RESOURCE AND ECONOMIC DEVELOPMENT,504,LEISURE AND RECREATION SERVICES,50499,,"PORT FACILITIES PLANNING, MAINT, ACQUISITION, AND CONSTRUCTION"
2118,5,RESOURCE AND ECONOMIC DEVELOPMENT,505,MARINE LIFE MANAGEMENT,50501,,"AGRICULTURAL INDUSTRY MARKETING, DEV., PROMOTION, AND IMPROV."
2119,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67903,,FINANCIAL ASSIST FOR CONFNMNT OF INMATES IN LOC AND REG. FCLTS
2120,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67904,,ADMINISTRATIVE AND SUPPORT SERVICES
2121,5,RESOURCE AND ECONOMIC DEVELOPMENT,557,REGULATION OF PRODUCTS,55704,,2006 TRANSPORTATION INITIATIVE
2122,5,RESOURCE AND ECONOMIC DEVELOPMENT,557,REGULATION OF PRODUCTS,55705,,ADMINISTRATIVE SERIVCES
2124,5,RESOURCE AND ECONOMIC DEVELOPMENT,557,REGULATION OF PRODUCTS,55707,,CENTRAL ADMIN AND QUALITY ASSURANCE FOR CHILD CARE ACTIVITIES
2125,5,RESOURCE AND ECONOMIC DEVELOPMENT,557,REGULATION OF PRODUCTS,55799,,ADMINISTRATIVE SERIVCES
2127,1,EDUCATION,172,FIN ASSIST FOR PUBLIC SCHOOL EMPLOYEE BENEFITS,17203,,TECHNOLOGY SECURITY OVERSIGHT SERVICES
2128,1,EDUCATION,172,FIN ASSIST FOR PUBLIC SCHOOL EMPLOYEE BENEFITS,17299,,WEB DEVELOPMENT AND SUPPORT SERVICES
2129,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17501,,REVERSION CLEARING ACCT
2133,7,GENERAL GOVERNMENT,723,ELECTORAL SERVICES,72305,,REVERSION CLEARING ACCT
2134,7,GENERAL GOVERNMENT,723,ELECTORAL SERVICES,72306,,DISTRIBUTION OF LOTTERY PROCEEDS FUND
2135,7,GENERAL GOVERNMENT,723,ELECTORAL SERVICES,72307,,CAPITAL INDIGENT DEFENSE SERVICES
2137,5,RESOURCE AND ECONOMIC DEVELOPMENT,559,REGULATION OF CHARITABLE GAMING,55999,,LEGAL DEFENSE REGULATORY SERVICES
2138,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56001,,UNEMPLOYED PARENTS CASH ASSISTANCE
2139,7,GENERAL GOVERNMENT,766,SUPPLEMENTAL RETIREMENT (STATE),76600,,INSURANCE PREMIUM PAYMENTS FOR UNINSURED INDIVIDUALS
2140,7,GENERAL GOVERNMENT,767,UNEMPLOYMENT COMPENSATION,76700,,COMMONWEALTH TRANSPORTATION CAPITAL PROJECTS BOND ACT DEBT SERV
2141,1,EDUCATION,112,HIGHER EDUCATION FEDERAL PROGRAMS COORDINATION,11202,,ACCOUNTING AND INTERNAL CONTROL COMPLIANCE
2142,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11901,,PUBLIC INFORMATION SERVICES
2143,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11902,,VESSEL OPERATION SERVICES
2144,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51922,,PORT TRAFFIC RATE MANAGEMENT
2145,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51923,,OTHER SERVICES
2146,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51924,,NURSERY INSPECTION
2147,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67905,,TRAVEL INFORMATION CENTERS
2148,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67906,,COMPUTER SERVICES
2149,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67907,,MEDICAL AND CLINICAL SERVICES
2150,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11903,,PUBLIC INFORMATION SERVICES
2151,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11904,,VESSEL OPERATION SERVICES
2152,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11905,,UNEMPLOYMENT COMPENSATION
2153,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51925,,DAMAGE AND LOSS CLAIMS
2154,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51926,,RETAIL AND SELECTED SERVICES
2155,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51927,,ADMINISTRATIVE AND SUPPORT SERVICES
2156,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11906,,FAMILY PRACTICE RESIDENCY INSTRUCTION
2157,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11907,,"MARINE SCIENCE, RESOURCES & ENVIRONMENTAL RESEARCH"
2158,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11908,,AGRICULTURE & NATURAL RES COOPERATIVE EXT SVCS
2159,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17502,,AUDIO/VISUAL SERVICES
2160,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17503,,STUDENT ADMISSIONS AND RECORDS
2161,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56002,,ADMINISTRATION AND SUPERVISION
2162,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56003,,DEBT SERVICE EDUCATIONAL AND GENERAL PLANT
2163,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56004,,REGIONAL GRANTS AND CONTRACTS
2164,7,GENERAL GOVERNMENT,723,ELECTORAL SERVICES,72308,,HIGHER EDUCATION INSTRUCTION
2165,7,GENERAL GOVERNMENT,723,ELECTORAL SERVICES,72399,,TRANSPORTATION SERVICES
2167,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56005,,OTHER SERVICES
2168,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56006,,NO LOSS/COMPOSITE INDEX TRANSITION
2169,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56007,,CAREER EDUCATION PAYMENTS
2171,7,GENERAL GOVERNMENT,724,FINANCIAL SYSTEMS DEVELOPMENT AND MANAGEMENT,72499,,SCHOOL HEALTH INCENTIVE PAYMENTS
2173,7,GENERAL GOVERNMENT,768,GROUP LIFE INSURANCE (LOCAL),76800,,OTHER SERVICES
2174,7,GENERAL GOVERNMENT,770,GROUP LIFE INSURANCE (STATE),77000,,STATE EDUCATION SERVICES FOR CULTURAL TRANSITION
2175,7,GENERAL GOVERNMENT,771,JUDICIAL RETIREMENT,77100,,VA BUSINESS-EDUCATION PARTNERSHIP
2176,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56008,,GIFTED ADMINISTRATION
2177,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56010,,ARCHITECTURAL AND ENGINEERING SERVICES
2178,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56011,,NURSING MANAGEMENT AND DIRECTION
2179,7,GENERAL GOVERNMENT,725,"INVESTMENT, TRUST AND INSURANCE SERVICES",72502,,RECREATION SERVICES
2181,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51928,,OTHER SERVICES
2182,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51999,,UNIFORM CRIME REPORTING
2184,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67908,,JUVENILE JUSTICE TRAINING
2185,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67909,,TRANSPORTATION SERVICES
2186,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67910,,VA. STATE DEFENSE FORCE
2187,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17504,,EMERGENCY COAL PRODUCTION OPERATIONS
2188,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17505,,WRITS OF ELECTION
2189,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17506,,OTHER SERVICES
2190,5,RESOURCE AND ECONOMIC DEVELOPMENT,530,AGRIC AND SEAFOOD PRODUCT PROMO AND DEVELOP SVCS,53002,,SURPLUS TRANSFER OR SALES-STATE
2191,5,RESOURCE AND ECONOMIC DEVELOPMENT,530,AGRIC AND SEAFOOD PRODUCT PROMO AND DEVELOP SVCS,53003,,REVENUE LAW AND FEE COMPLIANCE
